video_id,canal,tema,idioma_estimado,prioridad,comment_id,parent_id,is_reply,author_display_name,text_original,published_at,updated_at,like_count,reply_count,source_platform,downloaded_at
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugx8XvwMWy7yLyVy-hd4AaABAg,,0,@wickfalce-q8y,"El comunismo
Se ve bonito en el papel
Pero en realidad no funciona 
Diego si tanto amas el comunismo 
Ve a vivir a cuba
Pero en las sonas pobres 
No me vengas con ideas capitalistas que no puedes que eres un turista y solo vas de paseo por cuba
No bro
Ve a vivir a cuba como un ciudadano más 
Y ésto es un reto para ti
Te sobra lengua pero te faltan huevos",2026-04-05T12:46:44Z,2026-04-05T12:46:44Z,0,0,youtube,2026-04-05T13:39:46.748770
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugx88nMTrk4N1R-sYCN4AaABAg,,0,@wickfalce-q8y,"Es que el sabe a Agustín va a trapear el suelo con el 
Perdón no acepta debates ni opiniones de capitalistas
Le gusta hacer gogogo con los 🥚 de maduro",2026-04-05T12:41:39Z,2026-04-05T12:41:39Z,0,0,youtube,2026-04-05T13:39:46.748781
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugz-CzJ7ZtRQsKFOVeN4AaABAg,,0,@chpp3r,Jajajajaja tu pinche picador ya está en la sombra 😂,2026-04-01T02:59:32Z,2026-04-01T02:59:32Z,0,0,youtube,2026-04-05T13:39:46.748784
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugxyh1c9ZLoWFxz_B7d4AaABAg,,0,@Nahrio-y1b,Saca a tu compa de que no representa al dictador más raro,2026-03-30T07:55:54Z,2026-03-30T07:55:54Z,0,0,youtube,2026-04-05T13:39:46.748787
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgxseYVkBE1eAtUUmzl4AaABAg,,0,@SantiagoGarcia-o5p,El Carlos Muñoz de los filósofos,2026-03-25T13:55:26Z,2026-03-25T13:55:26Z,0,0,youtube,2026-04-05T13:39:46.748789
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugw8KPp4raxkkDd85oh4AaABAg,,0,@Hunterloza,Jajajajajaj,2026-03-25T10:33:19Z,2026-03-25T10:33:19Z,0,0,youtube,2026-04-05T13:39:46.748791
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwMShh5QsyW-0UOZUt4AaABAg,,0,@K1tty_k1ssxd,"Me cae bien diego, pero este video es muy ignorante y superficial",2026-03-22T12:12:59Z,2026-03-22T12:12:59Z,0,2,youtube,2026-04-05T13:39:46.748793
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwMShh5QsyW-0UOZUt4AaABAg.AUeQv3aRHx5AUjbHG7GWIi,UgwMShh5QsyW-0UOZUt4AaABAg,1,@izcoalt4864,"Le pagaron, es obvio incluso tiene entrevistas con el.
Yo reconsideraria si realmente te cae bien.",2026-03-24T12:28:28Z,2026-03-24T12:28:28Z,3,0,youtube,2026-04-05T13:39:46.748796
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwMShh5QsyW-0UOZUt4AaABAg.AUeQv3aRHx5AUyZzsNf2Su,UgwMShh5QsyW-0UOZUt4AaABAg,1,@Nahrio-y1b,"En qué forma te cae bien, estás porquerías de personas no deberían de por qué caerte bien",2026-03-30T07:57:06Z,2026-03-30T07:57:06Z,0,0,youtube,2026-04-05T13:39:46.748798
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgyBUvpiL5h3_cYgdfJ4AaABAg,,0,@Sienaude-wc9xv,"Deberías conocer a los padres de los jóvenes muertos por el régimen, anormal.",2026-03-21T21:55:39Z,2026-03-21T21:55:39Z,1,0,youtube,2026-04-05T13:39:46.748801
